2018-19 SAT Performance Report - All Students,,,,,
School Name,School Code,Tests Taken,Reading / Writing,Writing,Math
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,     106,536,,524
Abington - Abington High,00010505,     148,528,,525
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,       1,,,
Acton-Boxborough - Acton-Boxborough Regional High,06000505,     343,648,,677
Adams-Cheshire - Hoosac Valley High School,06030505,      73,524,,516
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,     185,624,,662
Agawam - Agawam High,00050505,     218,546,,555
Amesbury - Amesbury High,00070505,     160,569,,571
Amesbury - Amesbury Innovation High School,00070515,       3,,,
Amherst-Pelham - Amherst Regional High,06050505,     224,604,,597
Andover - Andover High,00090505,     534,604,,603
Arlington - Arlington High,00100505,     401,603,,601
Ashburnham-Westminster - Oakmont Regional High School,06100505,     195,556,,557
Ashland - Ashland High,00140505,     232,573,,596
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,     170,513,,497
Athol-Royalston - Athol High,06150505,      26,500,,494
Atlantis Charter (District) - Atlantis Charter School,04910550,      49,492,,489
Attleboro - Attleboro Community Academy,00160515,       1,,,
Attleboro - Attleboro High,00160505,     418,547,,544
Auburn - Auburn Senior High,00170505,     191,551,,548
Avon - Avon Middle High School,00180510,      57,506,,490
Ayer Shirley School District - Ayer Shirley Regional High School,06160505,     104,562,,560
Barnstable - Barnstable High,00200505,     350,556,,552
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,      34,465,,462
Bedford - Bedford High,00230505,     200,611,,615
Belchertown - Belchertown High,00240505,     145,567,,557
Bellingham - Bellingham High School,00250505,     157,533,,526
Bellingham - Keough Memorial Academy,00250510,       5,,,
Belmont - Belmont High,00260505,     351,612,,624
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,      49,575,,546
Berkshire Hills - Monument Mt Regional High,06180505,     106,591,,559
Berlin-Boylston - Tahanto Regional High,06200505,      98,574,,578
Beverly - Beverly High,00300505,     306,566,,554
Billerica - Billerica Memorial High School,00310505,     386,551,,561
Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,     312,559,,549
Blackstone-Millville - Blackstone Millville RHS,06220505,      94,539,,536
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,08060605,     176,492,,490
Boston - Another Course To College,00350541,      73,435,,436
Boston - Boston Adult Academy,00350548,       4,,,
Boston - Boston Arts Academy,00350546,     166,474,,468
Boston - Boston Collaborative High School,00350755,       4,,,
Boston - Boston Community Leadership Academy,00350558,     170,442,,451
Boston - Boston International High School,00350507,      69,400,,442
Boston - Boston Latin,00350560,     559,653,,667
Boston - Boston Latin Academy,00350545,     407,578,,601
Boston - Brighton High,00350505,     101,425,,444
Boston - Charlestown High,00350515,     136,424,,481
Boston - Community Academy,00350518,       1,,,
Boston - Community Academy of Science and Health,00350581,      85,417,,418
Boston - Dearborn,00350074,      43,414,,423
Boston - Dr. William Henderson Upper,00350426,      55,422,,434
Boston - East Boston High,00350530,     237,462,,467
Boston - Excel High School,00350522,      73,436,,463
Boston - Fenway High School,00350540,     107,451,,467
Boston - Greater Egleston Community High School,00350543,       2,,,
Boston - Jeremiah E Burke High,00350525,      57,414,,435
Boston - Lyon Upper 9-12,00350655,      20,476,,460
Boston - Madison Park High,00350537,      85,411,,414
Boston - Margarita Muniz Academy,00350549,      88,410,,422
Boston - New Mission High School,00350542,     132,476,,509
Boston - O'Bryant School Math/Science,00350575,     408,538,,575
Boston - Quincy Upper School,00350565,      77,475,,474
Boston - Snowden International School at Copley,00350690,      73,464,,472
Boston - TechBoston Academy,00350657,     173,419,,417
Boston - The English High,00350535,      68,424,,434
Boston - Urban Science Academy,00350579,      41,471,,462
Boston - West Roxbury Academy,00350658,      62,426,,420
Boston - William McKinley,00350363,       7,,,
Boston Collegiate Charter (District) - Boston Collegiate Charter School,04490305,     107,535,,541
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,04240505,      38,444,,446
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,04110305,      75,434,,441
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,04160305,      76,486,,515
Bourne - Bourne High School,00360505,     202,533,,513
Braintree - Braintree High,00400505,     509,559,,574
Bridgewater-Raynham - Bridgewater-Raynham Regional,06250505,     418,559,,563
Bridgewater-Raynham - Therapeutic Day School,06250415,       1,,,
Bristol County Agricultural - Bristol County Agricultural High,09100705,      99,533,,522
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,08100605,     147,509,,511
Brockton - Brockton High,00440505,     638,498,,494
Brockton - Edison Academy,00440520,       1,,,
Brooke Charter School (District) - Brooke Charter School,04280305,      60,514,,561
Brookline - Brookline High,00460505,     494,627,,638
Burlington - Burlington High,00480505,     307,571,,563
Cambridge - Cambridge Rindge and Latin,00490506,     527,557,,563
Canton - Canton High,00500505,     330,572,,578
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,08150605,      50,506,,492
Carver - Carver Middle/High School,00520405,      81,568,,568
Central Berkshire - Wahconah Regional High,06350505,     119,551,,552
Chelmsford - Chelmsford High,00560505,     464,573,,586
Chelsea - Chelsea High,00570505,     177,477,,464
Chelsea - Chelsea Opportunity Academy,00570515,       1,,,
Chicopee - Chicopee Academy,00610021,       1,,,
Chicopee - Chicopee Comprehensive High School,00610510,     161,553,,533
Chicopee - Chicopee High,00610505,     117,531,,520
City on a Hill Charter Public School Circuit Street (District) - City on a Hill Charter Public School Circuit Street,04370505,      30,437,,467
City on a Hill Charter Public School Dudley Square (District) - City on a Hill Charter Public School Dudley Square,35040505,      64,457,,475
Clinton - Clinton Senior High,00640505,     112,522,,511
Codman Academy Charter Public (District) - Codman Academy Charter Public School,04380505,      53,435,,454
Cohasset - Cohasset Middle/High School,00650505,     162,611,,588
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,04360305,      76,508,,522
Concord-Carlisle - Concord Carlisle High,06400505,     251,631,,640
Danvers - Danvers High,00710505,     247,556,,543
Dartmouth - Dartmouth High,00720505,     258,557,,548
Dedham - Dedham High,00730505,     222,552,,571
Dennis-Yarmouth - Dennis-Yarmouth Regional High,06450505,     222,527,,511
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,06500505,     183,549,,539
Douglas - Douglas High School,00770505,      97,555,,529
Dover-Sherborn - Dover-Sherborn Regional High,06550505,     167,625,,629
Dracut - Dracut Senior High,00790505,     197,545,,559
Dudley-Charlton Reg - Shepherd Hill Regional High,06580505,     260,556,,564
Duxbury - Duxbury High,00820505,     351,585,,573
East Bridgewater - East Bridgewater JR./SR. High School,00830505,     159,539,,517
East Longmeadow - East Longmeadow High,00870505,     212,559,,564
Easthampton - Easthampton High,00860505,      89,536,,514
Easton - Oliver Ames High,00880505,     348,572,,572
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520505,     148,440,,441
Essex North Shore Agricultural and Technical School District - Essex North Shore Agricultural and Technical School,08170505,     363,526,,501
Everett - Devens School,00930030,       2,,,
Everett - Everett High,00930505,     418,494,,492
Excel Academy Charter (District) - Excel Academy Charter School,04100205,     170,500,,528
Fairhaven - Fairhaven High,00940505,     143,553,,572
Fall River - B M C Durfee High,00950505,     474,470,,462
Fall River - Resiliency Preparatory Academy,00950525,       1,,,
Falmouth - Falmouth High,00960505,     232,567,,555
Fitchburg - Fitchburg High,00970505,     320,480,,475
Fitchburg - Goodrich Academy,00970510,       3,,,
Four Rivers Charter Public (District) - Four Rivers Charter Public School,04130505,      34,598,,562
Foxborough - Foxborough High,00990505,     262,559,,568
Foxborough Regional Charter (District) - Foxborough Regional Charter School,04460550,      94,549,,518
Framingham - Framingham High School,01000515,     537,547,,574
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,04780505,      60,615,,567
Franklin - Franklin High,01010505,     597,574,,571
Franklin County Regional Vocational Technical - Franklin County Technical,08180605,       9,,,
Freetown-Lakeville - Apponequet Regional High,06650505,     200,557,,567
Frontier - Frontier Regional,06700505,      93,558,,566
Gardner - Gardner Academy for Learning and Technology,01030515,       1,,,
Gardner - Gardner High,01030505,     119,525,,507
Gateway - Gateway Regional High,06720505,      44,553,,531
Georgetown - Georgetown High School,01050505,     134,578,,575
